Temperature ,Humidity,Soil moisture,Solar Radiation,Plant Mood
30.1,78.5,307.0,622.0,Thirsty 🥵
30.94,92.81,652.8,471.52,Happy 😊
30.0,69.76,649.0,335.22,Happy 😊
28.9,85.8,196.0,203.0,Thirsty 🥵
25.95,67.46,415.44,305.53,Happy 😊
27.57,89.82,690.06,364.65,Happy 😊
18.93,60.1,159.67,500.9,Thirsty 🥵
19.01,85.07,232.83,219.19,Thirsty 🥵
18.4,79.78,487.81,38.71,Too Dark 🌑
22.81,69.41,250.53,568.81,Thirsty 🥵
28.5,78.1,268.0,43.0,Stressed 😣
31.15,88.88,337.81,748.43,Thirsty 🥵
25.81,84.42,373.99,431.72,Happy 😊
30.58,77.07,605.24,225.73,Happy 😊
28.32,60.18,601.65,7.04,Too Dark 🌑
23.23,90.16,369.9,618.59,Happy 😊
23.7,76.74,630.9,628.72,Happy 😊
28.9,85.8,196.0,732.0,Thirsty 🥵
30.24,87.17,346.7,217.26,Thirsty 🥵
19.32,86.98,403.12,252.01,Happy 😊
24.09,89.49,338.75,340.84,Thirsty 🥵
18.02,78.95,453.88,554.91,Happy 😊
25.38,70.99,532.73,631.79,Happy 😊
28.15,70.82,638.01,111.98,Too Dark 🌑
18.34,77.29,332.97,469.71,Thirsty 🥵
28.71,90.67,588.74,700.57,Happy 😊
18.03,67.63,226.4,557.94,Thirsty 🥵
27.24,89.85,671.63,174.35,Too Dark 🌑
21.34,77.91,591.54,709.25,Happy 😊
24.26,91.08,501.23,332.31,Happy 😊
30.46,82.75,355.15,313.87,Happy 😊
29.23,80.21,262.62,125.94,Stressed 😣
25.61,93.95,160.88,553.38,Thirsty 🥵
25.55,74.73,689.84,502.53,Happy 😊
22.94,68.13,499.17,380.98,Happy 😊
30.2,77.6,307.0,622.0,Thirsty 🥵
28.84,83.66,629.4,630.67,Happy 😊
20.26,85.69,579.21,566.93,Happy 😊
19.47,90.31,683.54,93.18,Too Dark 🌑
20.89,69.8,585.85,431.81,Happy 😊
28.2,69.93,647.48,498.01,Happy 😊
23.79,71.36,384.12,59.14,Too Dark 🌑
19.51,87.08,570.17,580.69,Happy 😊
21.1,76.13,267.19,584.48,Thirsty 🥵
21.56,72.78,123.46,726.9,Thirsty 🥵
21.68,69.3,592.96,383.36,Happy 😊
29.23,80.74,237.06,399.38,Thirsty 🥵
29.37,83.3,208.86,343.21,Thirsty 🥵
25.48,85.24,164.08,711.21,Thirsty 🥵
27.5,86.3,213.0,642.0,Thirsty 🥵
25.92,92.08,249.94,490.51,Thirsty 🥵
21.8,65.98,521.7,653.85,Happy 😊
28.94,94.75,144.88,89.84,Stressed 😣
30.09,74.54,504.42,126.51,Too Dark 🌑
26.03,73.27,332.0,297.49,Thirsty 🥵
22.65,83.49,207.42,200.62,Thirsty 🥵
22.95,71.35,472.33,41.94,Too Dark 🌑
19.54,79.04,593.43,64.25,Too Dark 🌑
26.0,92.6,284.0,171.0,Stressed 😣
31.47,74.49,694.38,518.79,Happy 😊
22.77,79.02,332.18,253.96,Thirsty 🥵
23.55,93.25,294.64,130.96,Stressed 😣
22.45,68.2,420.9,144.38,Too Dark 🌑
19.14,68.12,690.78,715.08,Happy 😊
26.51,77.61,146.47,35.13,Stressed 😣
19.46,94.45,371.27,466.87,Happy 😊
27.14,90.03,457.86,730.58,Happy 😊
27.24,69.43,328.06,362.21,Thirsty 🥵
26.06,85.44,587.1,82.72,Too Dark 🌑
27.99,90.54,569.07,694.36,Happy 😊
20.68,91.89,298.47,282.85,Thirsty 🥵
27.41,80.76,312.63,608.39,Thirsty 🥵
22.7,62.65,141.52,179.5,Stressed 😣
31.01,65.81,263.8,529.84,Thirsty 🥵
26.01,70.1,368.15,289.61,Happy 😊
27.09,63.77,412.86,687.62,Happy 😊
19.66,68.34,179.93,739.8,Thirsty 🥵
29.95,84.75,555.25,115.89,Too Dark 🌑
31.5,65.38,649.14,288.01,Happy 😊
28.77,60.23,368.47,421.48,Happy 😊
29.34,69.53,680.63,716.93,Happy 😊
23.86,65.61,445.73,637.19,Happy 😊
28.9,85.8,196.0,732.0,Thirsty 🥵
22.63,85.5,663.73,602.01,Happy 😊
18.96,77.8,437.7,108.86,Too Dark 🌑
18.86,76.77,215.46,363.84,Thirsty 🥵
19.85,65.45,558.07,518.26,Happy 😊
21.8,86.03,489.91,231.11,Happy 😊
30.72,66.07,361.12,279.66,Happy 😊
25.37,90.12,367.07,442.43,Happy 😊
20.66,74.64,221.55,340.75,Thirsty 🥵
18.99,63.19,415.65,674.01,Happy 😊
26.08,80.62,551.3,21.91,Too Dark 🌑
30.5,95.0,563.59,641.51,Happy 😊
25.68,64.1,681.2,576.7,Happy 😊
28.87,91.27,365.74,647.98,Happy 😊
21.18,66.94,539.95,168.61,Too Dark 🌑
21.88,74.95,194.19,464.3,Thirsty 🥵
31.34,60.45,666.8,284.75,Happy 😊
30.87,64.07,421.25,642.21,Happy 😊
29.19,78.72,505.77,464.42,Happy 😊
29.5,78.7,306.0,622.0,Thirsty 🥵
25.3,95.0,228.0,217.0,Thirsty 🥵
25.54,93.69,286.04,668.36,Thirsty 🥵
25.96,66.74,367.35,356.82,Happy 😊
30.87,64.33,236.51,677.32,Thirsty 🥵
31.59,87.36,608.0,522.73,Happy 😊
19.07,83.48,377.04,497.43,Happy 😊
18.59,93.79,195.34,617.2,Thirsty 🥵
27.61,67.74,205.36,194.14,Stressed 😣
18.42,66.38,634.99,746.13,Happy 😊
20.42,83.37,261.73,471.88,Thirsty 🥵
31.17,68.79,535.28,570.68,Happy 😊
19.84,74.47,541.01,129.52,Too Dark 🌑
29.4,80.7,306.0,622.0,Thirsty 🥵
31.67,84.62,641.98,95.41,Too Dark 🌑
21.87,89.1,520.32,203.89,Happy 😊
27.4,63.96,388.96,260.75,Happy 😊
23.34,76.08,149.98,289.11,Thirsty 🥵
28.99,62.05,394.14,665.19,Happy 😊
31.57,72.34,473.47,705.08,Happy 😊
19.35,93.08,370.32,363.01,Happy 😊
25.52,70.1,545.63,305.76,Happy 😊
22.84,64.91,451.92,594.17,Happy 😊
29.9,65.7,234.0,258.0,Thirsty 🥵
26.27,86.52,691.01,274.54,Happy 😊
23.89,74.5,663.7,120.61,Too Dark 🌑
24.92,65.31,568.56,162.23,Too Dark 🌑
29.2,69.17,353.71,304.22,Happy 😊
28.9,85.8,196.0,792.0,Thirsty 🥵
23.74,79.84,340.73,113.88,Stressed 😣
28.03,92.61,676.17,318.43,Happy 😊
19.06,63.67,633.67,155.38,Too Dark 🌑
30.25,75.69,414.82,498.48,Happy 😊
18.27,87.08,506.75,122.51,Too Dark 🌑
29.82,91.23,254.33,38.88,Stressed 😣
26.87,66.28,491.36,483.88,Happy 😊
18.97,78.67,620.81,672.11,Happy 😊
31.89,86.68,568.3,348.68,Happy 😊
26.26,94.91,376.04,666.78,Happy 😊
20.41,84.5,357.98,359.48,Happy 😊
28.6,78.5,265.0,43.0,Stressed 😣
20.16,90.34,195.0,290.83,Thirsty 🥵
22.98,74.74,158.84,338.1,Thirsty 🥵
18.08,84.43,673.3,508.81,Happy 😊
31.71,73.35,409.43,571.07,Happy 😊
22.95,64.61,596.21,14.98,Too Dark 🌑
27.57,86.17,428.97,373.1,Happy 😊
22.1,84.41,464.57,605.5,Happy 😊
24.74,86.17,237.48,317.59,Thirsty 🥵
25.09,67.32,294.69,12.44,Stressed 😣
18.28,91.65,300.66,638.44,Thirsty 🥵
22.83,70.68,203.93,55.56,Stressed 😣
28.9,85.8,196.0,732.0,Thirsty 🥵
26.64,67.42,562.49,493.93,Happy 😊
31.85,71.65,476.91,147.55,Too Dark 🌑
22.9,69.66,143.35,241.84,Thirsty 🥵
31.26,92.53,310.98,11.94,Stressed 😣
22.98,73.35,420.72,697.93,Happy 😊
18.55,77.1,204.02,8.21,Stressed 😣
25.58,71.23,296.14,620.34,Thirsty 🥵
31.73,76.77,460.73,604.17,Happy 😊
30.36,85.65,270.11,49.64,Stressed 😣
18.16,61.58,697.07,215.18,Happy 😊
